Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
32;Costanera Hudson Calle 63;BZ080;7/8/2109;2019;invierno;11.3;10.02;7.69;Ausencia;Ausencia;Ausencia;Presencia;8400;1300;350;9.3;1.63;0.36;0.36;51;8;79;<50;<0.006;<0.002;<0.5;<10;47;Muy deteriorada
33;Camping Eva Perón;EN081;7/8/2019;2019;invierno;11.9;11.14;8.69;Ausencia;Ausencia;Ausencia;Ausencia;5000;800;700;8.6;1.02;0.57;0.57;82;6;75;94;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;7/8/2019;2019;invierno;19.12;9.33;8.44;Ausencia;Presencia;Ausencia;Ausencia;2400;200;10;7.8;1.06;0.38;0.53;105;10;46;60;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
35;Arroyo El Gato;EN083;7/8/2019;2019;invierno;13.1;3.88;7.82;Ausencia;Ausencia;Ausencia;Ausencia;11800;9000;2800;6.3;4.51;<0.1;0.12;74;12;67;<50;<0.006;<0.002;<0.5;<10;39;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;7/8/2019;2019;invierno;12.4;9.47;8.16;Ausencia;Ausencia;Ausencia;Ausencia;800;700;70;7.4;0.9;0.25;0.25;51;16;46;<50;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
37;Balneario Palo Blanco;BS092;15/5/2019;2019;invierno;9;9.41;7.62;Ausencia;Ausencia;Ausencia;Presencia;20500;17800;8750;6;1.93;0.2;1.35;86;10;22;-;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;15/5/2019;2019;invierno;8;9.41;7.75;Presencia;Presencia;Presencia;Presencia;247500;210000;41600;5.3;4.47;0.34;0.34;55;12;24;<50;<0.006;<0.002;<0.5;<10;29;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;15/5/2019;2019;invierno;7;7.01;7.84;Ausencia;Ausencia;ausencia;Presencia;1400;900;250;9.1;0.4;0.13;0.48;118;28;31;<50;<0.006;<0.002;<0.5;<10;54;Muy deteriorada
40;Balneario Municipal;BS094;15/5/2019;2019;invierno;7;9.72;8.14;Ausencia;Presencia;Ausencia;Presencia;4800;4400;1150;5.8;0.12;0.15;0.18;114;16;73;145;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
41;Playa La Balandra;BS093;15/5/2019;2019;invierno;7;9.4;8.52;Ausencia;Ausencia;Ausencia;Presencia;14000;5600;3350;7.3;0.81;0.16;0.18;67;14;60;103;<0.006;<0.002;<0.5;<10;35;Extremadamente deteriorada
1;Canal Villanueva y Río Luján;TI001; 29/10/2019;2019;primavera;21.2;8;7.74;Ausencia;Ausencia;Ausencia;Ausencia;800;300;100;3;0.049;0.27;0.48;49;18;89;49;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006; 29/10/2019;2019;primavera;21.7;2.34;7.46;Ausencia;Ausencia;Ausencia;Ausencia;4200;2300;1000;2.8;2.17;0.35;1.18;60;24;40;49;<0.006;<0.002;<0.5;<10;43;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002; 29/10/2019;2019;primavera;21.6; 3.58;7.47;Ausencia;Ausencia;Ausencia;Ausencia;4000;2200;1300;2.9;1.94;0.56;0.56;49;24;42;49;<0.006;<0.002;<0.5;<10;44;Extremadamente deteriorada
