Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;escherichia_coli_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;DBO_mg_l;Turbiedad_NTU;Hidrocarburos_Deriv_del_Petróleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
29;Pejerrey Club 400 m;QU063;19/2/2020;2020;verano;21;25;9.02;7.51;Ausencia;Ausencia;Ausencia;Presencia;50;5.5;0.17;0.13;6;70;77;<0.006;<0.002;<10;81;Levemente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;19/2/2020;2020;verano;27;21;4.95;7.59;Ausencia;Ausencia;Ausencia;Ausencia;6000;2.7;0.4;0.2;14;20;75;<0.006;<0.002;32;39;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;19/2/2020;2020;verano;27.5;23;6.07;8.03;Ausencia;Ausencia;Ausencia;Ausencia;4800;6.3;0.66;0.06;14;31;94;<0.006;<0.002;22;37;Extremadamente deteriorada
32;Costanera Hudson Calle 63;BZ080;19/2/2020;2020;verano;27.3;24;7.82;7.99;Ausencia;Ausencia;Ausencia;Ausencia;2700;5.8;0.26;0.67;28;36;75;<0.006;<0.002;36;39;Extremadamente deteriorada
33;Camping Eva Perón;EN081;19/2/2020;2020;verano;25.5;20;4.97;7.58;Ausencia;Ausencia;Ausencia;Ausencia;350;5.9;0.16;0.24;10;70;<50;<0.006;<0.002;<10;74;Deteriorada
34;Toma de agua Club de Pesca;EN082;19/2/2020;2020;verano;25.9;19;4.04;7.61;Ausencia;Ausencia;Ausencia;Ausencia;150;6.7;0.05;0.24;9;58;<50;<0.006;<0.002;<10;75;Deteriorada
35;Arroyo El Gato;EN083;19/2/2020;2020;verano;24.4;18;0.51;7.37;Ausencia;Presencia;Ausencia;Presencia;16800;1.2;3.35;0.09;12;18;<50;<0.006;<0.002;26;32;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;19/2/2020;2020;verano;26.3;18;4.85;7.6;Ausencia;Ausencia;Ausencia;Ausencia;600;6;0.18;0.28;9;43;<50;<0.006;<0.002;<10;70;Deteriorada
37;Balneario Palo Blanco;BS092;19/2/2020;2020;verano;no se midió;19;5.93;7.56;Ausencia;Ausencia;Ausencia;Ausencia;1400;1.8;<0.05;0.28;8;10;82;<0.006;<0.002;13;42;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;19/2/2020;2020;verano;no se midió;19;4.92;7.74;Presencia;Presencia;Presencia;Presencia;32800;2.1;8.8;0.13;18;5.5;<50;<0.006;<0.002;<10;29;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;19/2/2020;2020;verano;no se midió;19;6.64;7.63;Ausencia;Ausencia;Ausencia;Ausencia;3000;2.1;0.3;0.13;8;35;<50;<0.006;<0.002;28;42;Extremadamente deteriorada
40;Balneario Municipal;BS094;19/2/2020;2020;verano;no se midió;19;5.8;7.86;Ausencia;Presencia;Ausencia;Presencia;800;1.9;0.33;0.24;7;200;100;<0.006;<0.002;<10;58;Muy deteriorada
41;Playa La Balandra;BS093;23/2/2020;2020;verano;no se midió;19;8.08;8.1;Ausencia;Ausencia;Ausencia;Ausencia;600;3.5;<0.05;0.24;5;85;74;<0.006;<0.002;<10;70;Deteriorada
1;Canal Villanueva y Río Luján;TI001;4/11/2020;2020;primavera;22.3;19;4.69;7.44;Ausencia;Ausencia;Ausencia;Ausencia;49;2;<0.05;0.64;9;80;<50;<0.006;<0.002;14;64;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;4/11/2020;2020;primavera;22.3;18;2.58;7.47;Ausencia;Ausencia;Ausencia;Presencia;18300;1.5;5.2;1.1;11;65;<50;<0.006;<0.002;20;40;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;4/11/2020;2020;primavera;22.3;19;2.51;7.44;Ausencia;Ausencia;Ausencia;Ausencia;11600;1.8;5.7;1;12;75;<50;<0.006;<0.002;14;43;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;4/11/2020;2020;primavera;22.1;18;1.73;7.36;Ausencia;Ausencia;Ausencia;Ausencia;3100;1.3;3.2;0.84;14;80;65;<0.006;<0.002;11;46;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;4/11/2020;2020;primavera;20.8;18;1.83;7.43;Ausencia;Ausencia;Ausencia;Ausencia;2800;1.4;4.5;0.84;13;65;<50;<0.006;<0.002;<10;48;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;4/11/2020;2020;primavera;22.2;18;1.7;7.41;Ausencia;Ausencia;Ausencia;Ausencia;7700;1.3;4.5;0.84;12;65;115;<0.006;<0.002;<10;43;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;4/11/2020;2020;primavera;21.8;17;1.58;7.38;Ausencia;Ausencia;Ausencia;Ausencia;7500;1.6;4.13;0.77;15;55;<50;<0.006;<0.002;<10;45;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;4/11/2020;2020;primavera;22.6;20;5.6;7.35;Ausencia;Ausencia;Ausencia;Ausencia;49;1.9;0.14;0.45;11;85;<50;<0.006;<0.002;<10;69;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;4/11/2020;2020;primavera;21.6;20;4.55;7.08;Ausencia;Ausencia;Ausencia;Ausencia;400;2;0.19;0.45;16;>100;<50;<0.006;<0.002;12;63;Muy deteriorada
10;Del Arca;SF015;4/11/2020;2020;primavera;no se midió;19;;no se midió;Ausencia;Ausencia;Ausencia;Ausencia;3300;1.5;2.3;0.77;15;80;145;<0.006;<0.002;<10;45;Muy deteriorada
11;Espigón La Farola;SI021;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
12;Reserva Ecológica;SI022;4/11/2020;2020;primavera;20;23;;;Ausencia;Ausencia;Ausencia;Ausencia;5800;1.4;0.88;0.58;10;95;<50;<0.006;<0.002;11;50;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;4/11/2020;2020;primavera;20;20;;;Ausencia;Ausencia;Ausencia;Ausencia;14400;5.3;0.24;0.71;8;>100;75;<0.006;<0.002;<10;45;Muy deteriorada
14;Perú Puente;SI023;4/11/2020;2020;primavera;20;20;;;Ausencia;Ausencia;Ausencia;Presencia;279000;10.6;7.8;1;28;15;<50;<0.006;<0.002;<10;37;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;4/11/2020;2020;primavera;20.4;19;8.9;7.73;Ausencia;Ausencia;Ausencia;Ausencia;13600;7.4;0.9;0.64;14;92;<50;<0.006;<0.002;<10;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;4/11/2020;2020;primavera;19.8;17.1;8.2;7.35;Ausencia;Ausencia;Ausencia;Ausencia;14600;6;0.65;0.58;16;95;<50;<0.006;<0.002;11;45;Muy deteriorada
17;Costa y Melo;VL031;4/11/2020;2020;primavera;19.4;17.1;7.7;7.29;Ausencia;Ausencia;Ausencia;Presencia;23600;6.5;1.2;0.64;12;>100;<50;<0.006;<0.002;<10;41;Extremadamente deteriorada
18;Parque de los Niños;CA041;4/11/2020;2020;primavera;22.4;20;8.7;8;Ausencia;;Ausencia;Ausencia;5600;;0.5;0.77;<5;73;<50;;<0.002;<10;50;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;4/11/2020;2020;primavera;20.4;19;9;7.7;Ausencia;;Ausencia;Ausencia;1600;;0.8;0.51;<5;95;<50;;<0.002;15;56;Muy deteriorada
20;Club de Pescadores;CA046;4/11/2020;2020;primavera;21.5;18;8.8;7.9;Ausencia;;Ausencia;Ausencia;2400;;0.73;0.71;<5;112;<50;;<0.002;12;50;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;4/11/2020;2020;primavera;20.5;18;9;8.1;Ausencia;;Ausencia;Ausencia;570;;0.3;0.77;<5;68;118;;<0.002;<10;55;Muy deteriorada
22;Escollera de Propaneros;AV054;4/11/2020;2020;primavera;21.8;;7.84;7.85;no se midió;no se midió;no se midió;no se midió;2400;4.3;1.8;2.2;16;55;<50;<0.006;<0.002;28;43;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;4/11/2020;2020;primavera;21.8;;9.49;8.18;Ausencia;Ausencia;Ausencia;Ausencia;7800;3.9;2.5;0.77;20;70;<50;<0.006;<0.002;49;47;Muy deteriorada
24;Arroyo Sarandí;AV052;4/11/2020;2020;primavera;19.4;;11.01;8.44;no se midió;no se midió;no se midió;no se midió;2200;6.9;0.76;0.45;16;>100;54;<0.006;<0.002;26;48;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;4/11/2020;2020;primavera;20.1;;10.56;8.37;Ausencia;Ausencia;Ausencia;Ausencia;3300;5.4;0.72;0.64;12;>100;<50;<0.006;<0.002;50;53;Muy deteriorada
26;Arroyo Santo Domingo;AV053;4/11/2020;2020;primavera;19.9;;10.37;8.3;no se midió;no se midió;no se midió;no se midió;1800;7.7;0.75;0.64;14;>100;<50;<0.006;<0.002;47;50;Muy deteriorada
27;Espora 400 m;QU061;no salieron;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
28;Náutico 400 m;QU062;no salieron;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
29;Pejerrey Club 400 m;QU063;no salieron;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
30;Calle 14 y Costa - Salida cloaca;BZ078;4/11/2020;2020;primavera;22;20;7.68;8.13;Ausencia;Ausencia;Ausencia;Ausencia;550;6.2;0.87;1.05;22;68;65;<0.006;<0.002;84;49;Muy deteriorada
31;Puerto Trinidad calle 47;BZ077;4/11/2020;2020;primavera;20;20;8.40;7.96;Ausencia;Ausencia;Ausencia;Ausencia;49;7.9;0.23;0.84;22;>100;<50;<0.006;<0.002;17;60;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;4/11/2020;2020;primavera;18;18;9.76;7.88;Ausencia;Ausencia;Ausencia;Ausencia;50;7.2;0.05;0.71;16;>100;<50;<0.006;<0.002;38;63;Muy deteriorada
33;Camping Eva Perón;EN081;4/11/2020;2020;primavera;19.7;13;9.42;8.03;Ausencia;Presencia;Ausencia;Ausencia;1300;6.3;0.81;0.71;20;>100;<50;<0.006;<0.002;16;53;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;4/11/2020;2020;primavera;18.5;13;6.12;7.71;Ausencia;Ausencia;Ausencia;Presencia;250;7.3;0.47;0.38;18;>100;<50;<0.006;<0.002;<10;66;Deteriorada
35;Arroyo El Gato;EN083;4/11/2020;2020;primavera;21.2;13;2.42;8.12;Ausencia;Presencia;Ausencia;Ausencia;8400;2.5;11.4;0.7;20;35;<50;<0.006;<0.002;32;42;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;4/11/2020;2020;primavera;19.6;13;6.67;7.72;Ausencia;Presencia;Ausencia;Ausencia;750;8.2;0.29;0.58;9;>100;<50;<0.006;<0.002;15;62;Muy deteriorada
37;Balneario Palo Blanco;BS092;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
38;Diagonal 66 (descarga cloaca);BS095;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
39;Playa La Bagliardi;BS091;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
40;Balneario Municipal;BS094;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
41;Playa La Balandra;BS093;4/11/2020;2020;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
