Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
23;Polo Petroquímico Dock Sud;Avellaneda;AV051;7/11/2018;2018;primavera;22.7;8.39;6.4;ausencia;ausencia;ausencia;ausencia;3200;1600;150;5.1;0.62;0.29;0.66;23;12;45;<50;<0.006;<0.002;<0.5;<10;47;Deteriorada
24;Arroyo Sarandí;Avellaneda;AV052;7/11/2018;2018;primavera;22.5;8.64;6.4;ausencia;ausencia;ausencia;ausencia;600;300;<10;3.1;0.72;0.11;0.16;23;14;41;<50;<0.006;<0.002;<0.5;<10;67;Muy deteriorada
25;Costa de Villa Domínico     ;Avellaneda;AV055;7/11/2018;2018;primavera;22.1;9.43;6.5;ausencia;ausencia;ausencia;ausencia;600;600;<10;4.6;0.62;0.24;0.33;25;18;32;230;<0.006;<0.002;<0.5;<10;59;Muy deteriorada
26;Arroyo Santo Domingo;Avellaneda;AV053;7/11/2018;2018;primavera;22.1;8.46;6.6;ausencia;ausencia;ausencia;ausencia;1800;700;<10;3.9;0.6;0.31;1.16;13;8;45;<50;<0.006;<0.002;<0.5;<10;53;Muy deteriorada
27;Espora 400 m;Quilmes;QU061;7/11/2018;2018;primavera;18;7.67;7.43;ausencia;ausencia;ausencia;presencia;2600;600;<10;4.1;0.82;0.36;0.66;16;10;50;50;<0.006;<0.002;<0.5;<10;54;Muy deteriorada
28;Náutico 400 m;Quilmes;QU062;7/11/2018;2018;primavera;18;6.87;7.07;ausencia;ausencia;ausencia;presencia;400;400;<10;5.6;0.62;0.92;1.33;20;12;56;<50;<0.006;<0.002;<0.5;<10;50;Extremadamente deteriorada
29;Pejerrey Club 400 m;Quilmes;QU063;7/11/2018;2018;primavera;18;8.91;8.26;ausencia;ausencia;presencia;presencia;3000;2500;600;7.2;0.29;0.18;0.83;42;20;40;82;<0.006;<0.002;<0.5;20;44;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;Berazategui;BZ078;7/11/2018;2018;primavera;20.7;8.82;7.93;ausencia;ausencia;ausencia;ausencia;4400;2600;750;5.6;0.25;0.24;0.24;48;26;95;50;<0.006;<0.002;<0.5;35;49;Muy deteriorada
31;Puerto Trinidad calle 47;Berazategui;BZ077;7/11/2018;2018;primavera;21.8;8.72;8.66;ausencia;ausencia;ausencia;presencia;1200;1200;500;5.2;0.26;0.22;0.83;15;4;70;<50;<0.006;<0.002;<0.5;24;49;Muy deteriorada
32;Costanera Hudson Calle 63;Berazategui;BZ080;7/11/2018;2018;primavera;20.7;8.82;7.93;ausencia;ausencia;ausencia;ausencia;2400;1800;550;6.4;0.2;<0.1;0.16;32;16;65;<50;<0.006;<0.002;<0.5;16;53;Muy deteriorada
33;Camping Eva Perón;Ensenada;EN081;7/11/2018;2018;primavera;21.2;8.83;8.28;ausencia;ausencia;ausencia;ausencia;400;200;<10;6.7;0.22;0.2;0.83;26;12;52;<50;<0.006;<0.002;<0.5;<10;59;Deteriorada
34;Toma de agua Club de Pesca;Ensenada;EN082;7/11/2018;2018;primavera;21.7;6.01;7.81;ausencia;ausencia;ausencia;ausencia;400;100;<10;6.9;0.42;0.55;0.55;59;18;31;<50;<0.006;<0.002;<0.5;<10;66;Muy deteriorada
35;Arroyo El Gato;Ensenada;EN083;7/11/2018;2018;primavera;21.8;5.16;7.69;ausencia;ausencia;ausencia;ausencia;200;200;<10;8.9;0.63;<0.1;0.35;42;20;39;77;<0.006;<0.002;<0.5;12;63;Deteriorada
36;Ensenada Prefectura Isla Santiago;Ensenada;EN084;7/11/2018;2018;primavera;21;6.49;7.81;ausencia;ausencia;ausencia;ausencia;1400;500;20;6.9;0.2;<0.1;0.33;11;6;31;<50;<0.006;<0.002;<0.5;<10;66;Extremadamente deteriorada
37;Balneario Palo Blanco;Berisso;BS092;7/11/2018;2018;primavera;10;7.1;7.8;ausencia;ausencia;ausencia;ausencia;4600;4500;650;8.6;0.5;0.27;2.99;25;14;23;<50;<0.006;<0.002;<0.5;14;43;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);Berisso;BS095;7/11/2018;2018;primavera;10;5.65;7.55;ausencia;ausencia;ausencia;ausencia;5500;1800;600;31;0.81;<0.1;1.66;25;14;55;<50;<0.006;<0.002;<0.5;<10;43;Extremadamente deteriorada
39;Playa La Bagliardi;Berisso;BS091;7/11/2018;2018;primavera;10;7.4;8.75;ausencia;ausencia;ausencia;ausencia;3800;1300;300;3.9;0.54;<0.1;1.83;20;14;35;<50;<0.006;<0.002;<0.5;<10;42;Muy deteriorada
40;Balneario Municipal;Berisso;BS094;7/11/2018;2018;primavera;10;7.55;7.85;ausencia;ausencia;ausencia;ausencia;600;150;<10;2.4;0.17;<0.1;0.83;23;12;69;<50;<0.006;<0.002;<0.5;13;59;Muy deteriorada
41;Playa La Balandra;Berisso;BS093;7/11/2018;2018;primavera;10;9.2;7.89;ausencia;ausencia;ausencia;ausencia;1000;300;50;2.6;0.17;<0.1;0.99;20;14;55;<50;<0.006;<0.002;<0.5;12;54;
