Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
12;Reserva Ecológica;San Isidro;SI022;16/5/2018;2018;otoño;17.6;5.3;7.3;no se midió;no se midió;no se midió;ausencia;600;500;<10;6.9;0.4;0.39;0.39;28;5;64;70;<0.006;<0.002;<0.5;<10;63;Extremadamente deteriorada
13;Playa Espigón de Pacheco;San Isidro;SI024;16/5/2018;2018;otoño;20.2;2.68;7.53;no se midió;no se midió;no se midió;presencia;13000;4000;150;6.6;0.38;0.32;0.32;39;9;44;87;<0.006;<0.002;<0.5;<10;39;Extremadamente deteriorada
14;Perú Puente;San Isidro;SI023;16/5/2018;2018;otoño;18;6.82;7.68;no se midió;no se midió;no se midió;presencia;37500;6000;190;35;1.14;0.49;1.35;24;10;6.6;<50;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;Vicente López;VL033;16/5/2018;2018;otoño;17.33;6.2;7.45;ausencia;ausencia;ausencia;ausencia;23000;3000;130;9.1;0.81;0.35;1.05;15;6;40;110;<0.006;<0.002;<0.5;<10;41;Muy deteriorada
16;Puerto de Olivos Espigón;Vicente López;VL032;16/5/2018;2018;otoño;16.5;6.6;7.5;ausencia;ausencia;presencia;ausencia;4200;2400;60;23;0.52;0.33;0.33;15;5;36;313;<0.006;<0.002;<0.5;<10;49;Muy deteriorada
17;Costa y Melo;Vicente López;VL031;16/5/2018;2018;otoño;16;7.2;7.58;ausencia;ausencia;ausencia;ausencia;4100;3400;100;6.1;0.44;0.22;0.22;27;7;46;100;<0.006;<0.002;<0.5;<10;51;Extremadamente deteriorada
18;Parque de los Niños;CABA;CA041;27/6/2018;2018;otoño;11.4;8;7.8;no se midió;no se midió;no se midió;no se midió;17000;17000;2500;6;3.21;no se midió;0.38;30;7;61;no se midió;0.03;<0.002;<0.5;<10;39;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CABA;CA044;27/6/2018;2018;otoño;11.4;7.9;7.8;no se midió;no se midió;no se midió;no se midió;4000;4000;470;1.9;3.21;no se midió;0.04;33;<5;62;no se midió;0.03;<0.002;<0.5;<10;46;Extremadamente deteriorada
20;Club de Pescadores;CABA;CA046;27/6/2018;2018;otoño;11.2;8;7.8;no se midió;no se midió;no se midió;no se midió;25000;25000;3100;7;2.7;no se midió;0.04;30;5;60;no se midió;<0.02;<0.002;<0.5;<10;39;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CABA;CA047;27/6/2018;2018;otoño;11.5;7.8;7.7;no se midió;no se midió;no se midió;no se midió;670;530;340;1.9;1.8;no se midió;0.10;<20;<5;53;no se midió;0.03;<0.002;<0.5;<10;58;Extremadamente deteriorada
22;Escollera de Propaneros;Avellaneda;AV054;16/5/2018;2018;otoño;17.5;3.39;6.3;ausencia;presencia;ausencia;ausencia;5200;1200;25;8.2;0.82;0.39;0.39;70;14;31;1020;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;Avellaneda;AV051;16/5/2018;2018;otoño;17.4;5.3;6.4;presencia;ausencia;ausencia;ausencia;6000;1600;30;11.4;0.79;0.31;0.63;25;12;38;108;<0.006;<0.002;<0.5;<10;42;Muy deteriorada
24;Arroyo Sarandí;Avellaneda;AV052;16/5/2018;2018;otoño;17.6;5.81;6.4;ausencia;ausencia;ausencia;ausencia;2200;300;<10;6.6;0.47;0.24;0.24;84;12;46;187;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
25;Costa de Villa Domínico     ;Avellaneda;AV055;16/5/2018;2018;otoño;17.5;5.5;6.4;no se midió;no se midió;ausencia;ausencia;2000;600;15;7.1;0.62;0.23;0.63;68;12;47;105;<0.006;<0.002;<0.5;<10;47;Muy deteriorada
26;Arroyo Santo Domingo;Avellaneda;AV053;16/5/2018;2018;otoño;13.5;5.07;6.5;no perceptible;ausencia;ausencia;ausencia;2000;1100;20;7.3;0.79;0.29;0.29;17;12;36;175;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
27;Espora 400 m;Quilmes;QU061;16/5/2018;2018;otoño;16.5;8.66;7.48;ausencia;presencia;presencia;ausencia;5000;1100;25;8.2;0.65;0.18;0.33;61;14;40;110;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
28;Náutico 400 m;Quilmes;QU062;16/5/2018;2018;otoño;16.9;8.16;6.98;ausencia;presencia;presencia;ausencia;5200;1000;25;10.1;0.6;0.22;0.22;22;10;44;115;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
29;Pejerrey Club 400 m;Quilmes;QU063;16/5/2018;2018;otoño;15.6;8.01;7.64;ausencia;presencia;presencia;ausencia;3600;500;<10;8.6;0.76;0.35;0.35;17;14;35;<50;<0.006;<0.002;<0.5;<10;53;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;Berazategui;BZ078;16/5/2018;2018;otoño;14.5;6.29;7.48;ausencia;ausencia;presencia;ausencia;3200;800;20;15;0.74;0.48;0.48;17;10;39;236;<0.006;<0.002;<0.5;<10;53;no se midió
31;Puerto Trinidad calle 47;Berazategui;BZ077;16/5/2018;2018;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;Muy deteriorada
32;Costanera Hudson Calle 63;Berazategui;BZ080;16/5/2018;2018;otoño;15.1;5.82;6.87;ausencia;ausencia;presencia;ausencia;1200;700;<10;9.8;<0.05;0.39;0.39;29;22;31;123;<0.006;<0.002;<0.5;<10;59;Muy deteriorada
33;Camping Eva Perón;Ensenada;EN081;16/5/2018;2018;otoño;16.2;7.97;7.81;ausencia;ausencia;ausencia;ausencia;2000;700;<10;10;0.25;0.33;0.33;27;20;41;<50;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
34;Toma de agua Club de Pesca;Ensenada;EN082;16/5/2018;2018;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;1600;200;<10;10;0.35;0.28;0.28;58;28;36;<50;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
35;Arroyo El Gato;Ensenada;EN083;16/5/2018;2018;otoño;16.5;3.51;7.26;ausencia;ausencia;ausencia;ausencia;3600;500;<10;10.2;0.97;0.31;0.31;44;6;39;<50;<0.006;<0.002;<0.5;<10;56;Deteriorada
36;Ensenada Prefectura Isla Santiago;Ensenada;EN084;16/5/2018;2018;otoño;17.1;7.14;7.79;ausencia;ausencia;ausencia;ausencia;800;300;<10;8.9;0.06;0.21;0.27;48;5;56;<50;<0.006;<0.002;<0.5;<10;71;Muy deteriorada
37;Balneario Palo Blanco;Berisso;BS092;16/5/2018;2018;otoño;11;7.05;7.5;ausencia;ausencia;ausencia;ausencia;1600;300;<10;11.3;0.12;0.45;0.45;27;7;39;123;<0.006;<0.002;<0.5;<10;61;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);Berisso;BS095;16/5/2018;2018;otoño;11;5.75;7.62;ausencia;presencia;presencia;presencia;16000;5000;160;4.2;0.81;0.94;0.94;36;8;14;142;<0.006;<0.002;<0.5;<10;37;Muy deteriorada
39;Playa La Bagliardi;Berisso;BS091;16/5/2018;2018;otoño;11;7.37;8.74;ausencia;no se midió;presencia;ausencia;6400;1700;30;7.7;0.32;0.56;0.56;44;10;44;<50;<0.006;<0.002;<0.5;<10;50;Muy deteriorada
40;Balneario Municipal;Berisso;BS094;16/5/2018;2018;otoño;11;7.52;7.89;ausencia;no se midió;ausencia;ausencia;1000;300;<10;5.5;0.14;0.7;0.81;53;10;49;<50;<0.006;<0.002;<0.5;<10;58;Deteriorada
41;Playa La Balandra;Berisso;BS093;16/5/2018;2018;otoño;11;9.15;7.94;ausencia;no se midió;ausencia;ausencia;600;400;<10;3.5;<0.05;0.38;0.38;41;16;46;<50;<0.006;<0.002;<0.5;<10;65;Muy deteriorada
1;Canal Villanueva y Río Luján;Tigre;TI001;15/8/2018;2018;invierno;14.3;9.9;7.9;ausencia;ausencia;ausencia;ausencia;200;200;20;2.9;0.05;0.09;0.86;55;8;52;49;0.005;0.001;<0.50;<10;61;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;Tigre;TI006;15/8/2018;2018;invierno;14;7.1;7.6;ausencia;ausencia;ausencia;ausencia;8000;7600;2600;4;3.11;0.26;0.26;30;10;44;49;0.005;0.001;<0.50;<10;43;Muy deteriorada
3;Canal Aliviador y Río Lujan;Tigre;TI002;15/8/2018;2018;invierno;14;7.5;7.7;ausencia;ausencia;ausencia;ausencia;4600;3300;750;3.4;1.52;0.2;0.20;22;10;49;82;0.005;0.001;<0.50;<10;46;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;Tigre;TI003;15/8/2018;2018;invierno;13.8;7.8;7.8;ausencia;ausencia;ausencia;ausencia;2800;2300;600;3.7;2.62;0.15;0.15;33;2;45;77;0.005;0.001;<0.50;<10;49;Muy deteriorada
5;Río Reconquista y Río Lujan;Tigre;TI004;15/8/2018;2018;invierno;13.9;8.6;7.7;ausencia;ausencia;ausencia;ausencia;3000;3000;50;3;1.05;0.16;0.16;139;12;54;139;0.005;0.001;<0.50;<10;48;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;Tigre;TI005;15/8/2018;2018;invierno;13.8;7.6;7.7;ausencia;ausencia;ausencia;ausencia;4500;4500;1100;4;1.29;0.23;0.23;20;10;50;49;0.005;0.001;<0.50;<10;47;Muy deteriorada
7;Río Lujan y Canal San Fernando;Tigre;TI007;15/8/2018;2018;invierno;13.7;7.55;7.9;ausencia;ausencia;ausencia;presencia;2800;2400;850;3.4;1.34;0.29;0.29;30;8;50;94;0.005;0.001;<0.50;<10;45;Deteriorada
8;Río Capitán y Río San Antonio;Tigre;TI008;15/8/2018;2018;invierno;14.3;9.6;7.9;ausencia;ausencia;ausencia;ausencia;100;100;130;3;0.04;0.19;0.19;33;4;56;100;0.005;0.001;<0.50;<10;76;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;Tigre;TI009;15/8/2018;2018;invierno;13.9;9.6;8.1;ausencia;ausencia;ausencia;ausencia;350;200;50;3.3;0.04;0.18;0.18;44;10;64;49;0.005;0.001;<0.50;<10;75;Muy deteriorada
10;Del Arca;San Fernando;SF015;15/8/2018;2018;invierno;13.8;7.5;7.29;presencias;ausencia;ausencia;ausencia;1600;900;70;4.7;1.03;0.58;0.58;131;8;39;49;0.005;0.001;<0.50;<10;53;Muy deteriorada
11;Espigón La Farola;San Isidro;SI021;15/8/2018;2018;invierno;15;9.09;7.6;no se midió;no se midió;no se midió;no se midió;600;600;50;5;0.84;0.25;0.25;47;4;39;49;0.005;0.001;<0.50;<10;61;Muy deteriorada
12;Reserva Ecológica;San Isidro;SI022;15/8/2018;2018;invierno;14.6;7.66;7.3;no se midió;no se midió;no se midió;no se midió;500;500;110;6.7;0.85;0.2;0.20;31;4;31;145;0.005;0.001;<0.50;<10;57;Extremadamente deteriorada
13;Playa Espigón de Pacheco;San Isidro;SI024;15/8/2018;2018;invierno;14.5;7.28;7.45;no se midió;no se midió;no se midió;no se midió;30000;29200;8300;6.9;0.89;0.25;0.25;36;10;26;49;0.005;0.001;<0.50;<10;38;Extremadamente deteriorada
14;Perú Puente;San Isidro;SI023;15/8/2018;2018;invierno;17.5;3.35;7.45;no se midió;no se midió;no se midió;no se midió;7000;6600;1550;23.3;2.82;0.93;0.93;52;8;15;49;0.005;0.001;<0.50;<10;39;Muy deteriorada
15;Reserva Barrio El Ceibo ;Vicente López;VL033;15/8/2018;2018;invierno;14.3;8.1;6.73;ausencia;ausencia;ausencia;ausencia;3000;3000;2450;6.8;0.85;0.49;0.49;76;6;27;49;0.005;0.001;<0.50;<10;45;Muy deteriorada
16;Puerto de Olivos Espigón;Vicente López;VL032;15/8/2018;2018;invierno;13.7;7.6;6.77;presencia;ausencia;ausencia;ausencia;3000;2800;700;8.6;2.35;0.3;0.30;47;6;30;49;0.005;0.001;<0.50;<10;48;Extremadamente deteriorada
17;Costa y Melo;Vicente López;VL031;15/8/2018;2018;invierno;14.1;7.1;6.72;presencia;ausencia;ausencia;presencia;9000;8600;2900;9.3;1.46;0.09;0.09;32;8;35;77;0.005;0.001;<0.50;<10;38;Deteriorada
18;Parque de los Niños;CABA;CA041;15/8/2018;2018;invierno;11.9;7.8;7.6;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;6;<0.1;no se midió;0.11;<50;5;28;no se midió;<0.02;<0.02;<0.50;<10;79;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CABA;CA044;15/8/2018;2018;invierno;14.5;8.1;7.7;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;6;<0.1;no se midió;0.67;<50;5;29;no se midió;<0.02;<0.02;<0.50;<10;58;Muy deteriorada
20;Club de Pescadores;CABA;CA046;15/8/2018;2018;invierno;14.9;8;7.6;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;6;<0.1;no se midió;0.48;<50;5;25;no se midió;<0.02;<0.02;<0.50;<10;62;Deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CABA;CA047;15/8/2018;2018;invierno;14.8;8.8;7.7;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;6;<0.1;no se midió;0.15;<50;<5;25;no se midió;<0.02;<0.02;<0.50;<10;76;Muy deteriorada
22;Escollera de Propaneros;Avellaneda;AV054;15/8/2018;2018;invierno;14.5;6.72;6.5;ausencia;ausencia;ausencia;ausencia;300;300;30;7;1.39;0.66;1;14;4;41;94;0.005;0.001;<0.50;<10;54;Deteriorada
23;Polo Petroquímico Dock Sud;Avellaneda;AV051;15/8/2018;2018;invierno;14;7.26;6.6;ausencia;ausencia;ausencia;ausencia;100;100;30;5.4;1.53;0.45;0.45;33;8;38;110;0.005;0.001;<0.50;<10;68;Deteriorada
24;Arroyo Sarandí;Avellaneda;AV052;15/8/2018;2018;invierno;14.2;6.06;6.6;presencia;ausencia;ausencia;ausencia;100;100;40;7.4;1.8;0.37;0.37;20;8;32;105;0.005;0.001;<0.50;<10;65;Muy deteriorada
25;Costa de Villa Domínico     ;Avellaneda;AV055;15/8/2018;2018;invierno;14;6.68;6.8;ausencia;ausencia;ausencia;ausencia;200;99;30;5.8;1.66;0.31;0.63;39;8;31;126;0.005;0.001;<0.50;<10;61;Muy deteriorada
26;Arroyo Santo Domingo;Avellaneda;AV053;15/8/2018;2018;invierno;13.9;5.58;6.8;ausencia;ausencia;presencia;ausencia;1000;100;40;9;1.33;0.22;0.22;17;14;31;347;0.005;0.001;<0.50;<10;60;Muy deteriorada
27;Espora 400 m;Quilmes;QU061;15/8/2018;2018;invierno;14.4;6.19;7.09;ausencia;ausencia;presencia;presencia;300;300;30;7.2;1.28;0.57;0.57;63;8;31;109;0.005;0.001;<0.50;<10;57;Muy deteriorada
28;Náutico 400 m;Quilmes;QU062;15/8/2018;2018;invierno;14.2;6.4;6.32;ausencia;ausencia;presencia;presencia;300;300;30;9.1;1.9;0.42;0.42;95;12;21;77;0.005;0.001;<0.50;<10;54;Extremadamente deteriorada
29;Pejerrey Club 400 m;Quilmes;QU063;15/8/2018;2018;invierno;14.3;6.43;6.77;ausencia;ausencia;presencia;presencia;4400;3600;1250;8;2.5;0.55;0.55;12;8;35;50;0.005;0.001;<0.50;<10;44;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;Berazategui;BZ078;15/8/2018;2018;invierno;11.2;9.68;8.46;ausencia;ausencia;ausencia;presencia;2200;1900;1600;10.8;3.4;0.36;0.36;41;18;30;430;0.005;0.001;<0.50;37.4;40;no se midió
31;Puerto Trinidad calle 47;Berazategui;BZ077;15/8/2018;2018;invierno;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;Muy deteriorada
32;Costanera Hudson Calle 63;Berazategui;BZ080;15/8/2018;2018;invierno;12.7;12.46;8.9;ausencia;ausencia;ausencia;ausencia;200;99;400;7.7;0.06;0.55;0.55;36;20;39;67;0.005;0.001;<0.50;79.6;49;Muy deteriorada
33;Camping Eva Perón;Ensenada;EN081;15/8/2018;2018;invierno;12.9;13.06;8.94;ausencia;ausencia;ausencia;ausencia;99;99;90;10.7;0.32;0.4;0.4;49;4;43;380;0.005;0.001;<0.50;74.7;61;Muy deteriorada
34;Toma de agua Club de Pesca;Ensenada;EN082;15/8/2018;2018;invierno;12.8;11.61;8.6;ausencia;ausencia;ausencia;ausencia;100;50;10;10.7;0.6;0.32;1.45;41;12;29;110;0.005;0.001;<0.50;67.8;49;Extremadamente deteriorada
35;Arroyo El Gato;Ensenada;EN083;15/8/2018;2018;invierno;13.3;4.71;7.39;ausencia;ausencia;ausencia;ausencia;7800;5700;1400;10.1;2.46;0.32;1.64;17;12;35;507;0.005;0.001;<0.50;<10;37;Deteriorada
36;Ensenada Prefectura Isla Santiago;Ensenada;EN084;15/8/2018;2018;invierno;12.4;9.76;8.05;ausencia;ausencia;ausencia;ausencia;200;100;50;6.3;1.37;0.17;0.17;20;4;29;162;0.005;0.001;<0.50;12.3;70;Extremadamente deteriorada
37;Balneario Palo Blanco;Berisso;BS092;15/8/2018;2018;invierno;no se midió;5;8.09;ausencia;ausencia;ausencia;ausencia;17000;9000;1000;5.1;1.79;0.41;0.41;20;16;21;330;0.005;0.001;<0.50;<10;38;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);Berisso;BS095;15/8/2018;2018;invierno;10;5;no se midió;presencia;presencia;ausencia;presencia;60000;53500;8400;6.7;2.78;0.4;0.40;44;12;54;103;0.005;0.001;<0.50;10.7;27;Extremadamente deteriorada
39;Playa La Bagliardi;Berisso;BS091;15/8/2018;2018;invierno;11;8.9;7.4;ausencia;ausencia ;presencia;presencia;40000;12800;4600;6.7;5.17;0.9;0.9';58;14;45;87;0.005;0.001;<0.50;<10;33;Muy deteriorada
40;Balneario Municipal;Berisso;BS094;15/8/2018;2018;invierno;10.5;10.5;8.9;ausencia;ausencia;ausencia;ausencia;400;200;40;4.7;0.04;0.31;0.37;60;16;63;53;0.005;0.001;<0.50;<10;59;Extremadamente deteriorada
41;Playa La Balandra;Berisso;BS093;15/8/2018;2018;invierno;11.3;10.56;8.35;presencia;ausencia ;presencia;presencia;400;400;80;6.3;0.19;0.23;1.26;68;14;59;81;0.005;0.001;<0.50;12.8;43;Deteriorada
1;Canal Villanueva y Río Luján;Tigre;TI001;29/10/2018;2018;primavera;22;7.8;7.02;ausencia;ausencia;ausencia;ausencia;400;100;40;1.8;<0.05;<0.1;0.49;36;10;80;<50;<0.006;<0.002;<0.5;<10;67;Extremadamente deteriorada
